run,seed,auc,cat_mean,mlp_mean,optimal_weight,time_seconds
1,100,0.9018518518518519,0.8857407407407409,0.8151388888888891,0.7399999999999999,53.73752498626709
2,101,0.8972222222222223,0.8854629629629631,0.8252314814814815,0.72,53.717897176742554
3,102,0.8962962962962964,0.8862962962962964,0.815324074074074,0.7249999999999999,54.09757900238037
4,103,0.9037037037037037,0.8901157407407407,0.8195833333333333,0.7149999999999999,54.552194118499756
5,104,0.8944444444444445,0.8857407407407407,0.8152314814814815,0.7374999999999998,53.73575210571289
6,105,0.8925925925925926,0.8836574074074075,0.8256944444444446,0.715,52.94381380081177
7,106,0.8944444444444445,0.8841203703703702,0.8179166666666667,0.7249999999999999,53.58808207511902
8,107,0.8953703703703704,0.8833796296296297,0.8092592592592593,0.7349999999999998,54.899279832839966
9,108,0.8953703703703704,0.8865277777777779,0.8253703703703703,0.7399999999999999,54.83877205848694
10,109,0.8861111111111112,0.8766666666666667,0.8087962962962962,0.7324999999999998,55.662834882736206
11,110,0.8972222222222221,0.881111111111111,0.8225925925925927,0.71,56.032552003860474
12,111,0.9083333333333333,0.8923842592592592,0.8202777777777778,0.7424999999999999,55.2783522605896
13,112,0.8972222222222223,0.8826851851851851,0.8199074074074073,0.7149999999999999,57.13837504386902
14,113,0.8898148148148148,0.8780555555555555,0.8215277777777779,0.7274999999999998,61.43979096412659
15,114,0.8935185185185186,0.8867592592592592,0.8152777777777779,0.7324999999999999,55.06474304199219
16,115,0.9027777777777777,0.8880092592592591,0.8232407407407407,0.6974999999999999,55.5657799243927
17,116,0.9027777777777778,0.8862268518518519,0.8175925925925925,0.7074999999999998,55.481781005859375
18,117,0.912037037037037,0.8950231481481481,0.8161574074074075,0.7424999999999999,54.744494915008545
19,118,0.8851851851851852,0.8821296296296298,0.8142129629629631,0.735,53.20710825920105
20,119,0.8962962962962963,0.8837962962962964,0.8189351851851852,0.7049999999999998,55.25312376022339
21,120,0.8990740740740741,0.8912037037037036,0.8202777777777779,0.7324999999999998,53.52664875984192
22,121,0.8953703703703704,0.8836574074074074,0.8251851851851851,0.7099999999999999,55.29821515083313
23,122,0.887962962962963,0.8815972222222224,0.8132870370370371,0.7324999999999998,51.37151098251343
24,123,0.9009259259259259,0.8875925925925925,0.8224537037037036,0.7299999999999999,52.21978521347046
25,124,0.9027777777777778,0.8926620370370373,0.8160648148148149,0.7374999999999999,53.554558992385864
26,125,0.8953703703703704,0.8851851851851851,0.8244907407407407,0.7399999999999999,53.13229012489319
27,126,0.8916666666666667,0.8788194444444445,0.8225000000000001,0.7174999999999999,51.38381314277649
28,127,0.9046296296296297,0.8924999999999998,0.8095370370370372,0.7274999999999998,55.17058086395264
29,128,0.9037037037037037,0.8889351851851851,0.819814814814815,0.7149999999999999,54.82463002204895
30,129,0.9092592592592592,0.8902777777777777,0.8125925925925926,0.7249999999999999,56.375133991241455
